cve_ageb,transit_demand,accessibility_score,coverage_gap_raw,coverage_gap_n,demand_quantile,access_quantile,gap_category
0100100013755,3796.145401556481,120630.0,0.031469070152419204,0.0033527231782963735,3,3,Medium-gap
0100100013774,2732.158662896049,125335.0,0.021798674466203236,0.002333448747763518,3,4,Medium-gap
0100100013789,4936.907458233315,123915.0,0.03984075872553435,0.004227424175555854,4,3,Medium-gap
0100100013793,3891.273050644813,123270.0,0.0315668166125432,0.0033629769469528175,3,3,Medium-gap
0100100013806,4541.281553391096,123270.0,0.03683982082883319,0.003914688902670614,3,3,Medium-gap
0100100013810,1400.3164390476045,0.0,1400.3164390476045,0.7839848793002814,2,1,Medium-gap
0100100013825,6742.219485098754,123540.0,0.05457475239069422,0.005749912799916388,4,3,Medium-gap
0100100013844,161.0362837210833,0.0,161.0362837210833,0.5505427214824671,1,1,Medium-gap
0100100013859,0.0,117590.0,0.0,0.0,1,2,Medium-gap
0100100013863,6314.208686605524,0.0,6314.208686605524,0.9468972520959138,4,1,High-gap
0100100013878,2296.570057621475,120255.0,0.019097342815505878,0.0020470002551496564,2,3,Medium-gap
0100100013882,15605.36818074008,122180.0,0.1277233627220278,0.013006693310522345,5,3,Medium-gap
0100100013897,7393.348113163082,117650.0,0.06284135377653469,0.006594826300191987,5,3,Medium-gap
0100100013914,126.10929908062155,0.0,126.10929908062155,0.5242727531587794,1,1,Medium-gap
0100100013971,5105.693364104701,123540.0,0.04132792647060248,0.004382071356445259,4,3,Medium-gap
0100100013986,1383.2845563653864,122865.0,0.011258481242698438,0.0012114506156009966,2,3,Medium-gap
0100100013990,4754.28234368917,123540.0,0.03848343743121045,0.004086086257683513,4,3,Medium-gap
0100100014005,167.12250884160616,111185.0,0.0015030894972533067,0.00016252415460631388,1,2,Medium-gap
0100100014024,29.52673426461524,94285.0,0.00031316138413566426,3.3881253823775606e-05,1,2,Medium-gap
0100100014039,0.0,111270.0,0.0,0.0,1,2,Medium-gap
0100100014043,90.98292974241532,0.0,90.98292974241532,0.48927349822104776,1,1,Medium-gap
0100100014058,499.5767815335298,122440.0,0.00408014293850532,0.0004406057410073816,1,3,Medium-gap
0100100014062,6785.9812645480815,97030.0,0.06993621898721111,0.007314754929511445,4,2,High-gap
0100100014077,2539.316800934588,120495.0,0.02107386801997235,0.002256664867956633,2,3,Medium-gap
0100100014081,0.0,120940.0,0.0,0.0,1,3,Medium-gap
0100100014096,766.8270419380489,42050.0,0.018235643431501008,0.0019554661268187247,1,2,Medium-gap
0100100014109,2802.441163873299,119240.0,0.02350232859396767,0.0025137146379678676,3,3,Medium-gap
0100100014113,801.7529727411888,105555.0,0.007595522497453378,0.0008187904466614123,1,2,Medium-gap
0100100014128,1227.3658103996634,122440.0,0.01002414069143231,0.0010792914562792976,2,3,Medium-gap
0100100014132,2722.329325662601,114185.0,0.023841183031742957,0.0025495334950245857,3,2,Medium-gap
0100100014147,0.0,116660.0,0.0,0.0,1,2,Medium-gap
0100100014151,51.0124081154698,106880.0,0.00047728228698711467,5.163342809250078e-05,1,2,Medium-gap
0100100014202,2095.3235074988056,100705.0,0.020806342298361622,0.0022283102013470535,2,2,Medium-gap
0100100014217,4258.176140716351,81190.0,0.05244640589124843,0.005531306414653776,3,2,Medium-gap
0100100014255,2766.730216050041,0.0,2766.730216050041,0.8576328987560263,3,1,Medium-gap
0100100014306,306.02744259736204,0.0,306.02744259736204,0.6197002604680637,1,1,Medium-gap
0100100014325,4456.278666528074,116390.0,0.03828714132989727,0.004065630648794644,3,2,Medium-gap
0100100014344,282.0788588980709,0.0,282.0788588980709,0.6109125155520101,1,1,Medium-gap
0100100014359,5145.3567151935495,0.0,5145.3567151935495,0.9247501345562975,4,1,High-gap
0100100014363,4725.266947711476,0.0,4725.266947711476,0.9155358611520277,4,1,High-gap
